Disgust,Sadness
2.573668,7.16E-05
2.57357,7.15E-05
2.573593,7.13E-05
2.573892,7.15E-05
2.576587,7.18E-05
2.574635,7.20E-05
2.568363,7.29E-05
2.562717,7.28E-05
2.56257,7.46E-05
2.582884,7.78E-05
2.616874,7.67E-05
2.640504,7.76E-05
2.653432,7.94E-05
2.66049,7.77E-05
2.652731,7.94E-05
2.638165,8.07E-05
2.624347,7.76E-05
2.617917,7.56E-05
2.595877,7.49E-05
2.580842,7.44E-05
2.568238,7.43E-05
2.554669,7.08E-05
2.500623,4.55E-05
2.376149,3.50E-05
2.012277,2.93E-05
1.399314,4.87E-05
1.201751,7.86E-05
0.860235,0.000222817
0.4733216,0.001623825
0.4343842,0.001943775
0.4303859,0.001942457
0.4239656,0.001683784
0.4269536,0.00160521
0.4276734,0.001965166
0.4271413,0.001946398
0.4268975,0.001952665
0.4267631,0.001928117
0.4269438,0.001945871
0.4277201,0.001940689
0.4276986,0.002009264
0.4276178,0.001980794
0.4282265,0.001955984
0.4284835,0.001967771
0.4328531,0.00196536
0.4421213,0.001856844
0.4538206,0.001800447
0.4781769,0.00156676
0.5474706,0.000670218
0.7025511,0.000325016
1.00206,8.46E-05
1.393942,3.57E-05
1.54162,3.25E-05
2.145143,1.86E-05
2.23035,3.52E-05
2.265395,5.19E-05
2.423837,6.34E-05
2.496014,7.53E-05
2.534183,0.000345467
2.553404,0.000873031
2.570486,0.002611268
2.572438,0.0053395
2.569372,0.002209767
2.575545,0.001179842
2.578779,0.000340574
2.581486,6.79E-05
2.584013,5.21E-05
2.5881,4.59E-05
2.587832,2.01E-05
2.599587,3.73E-06
2.619204,3.64E-06
2.656128,3.57E-06
2.661456,3.85E-06
2.656484,3.90E-06
2.674385,3.94E-06
2.66085,5.04E-06
2.648656,4.97E-06
2.638902,6.45E-06
2.633545,8.56E-06
2.600535,3.27E-05
2.603523,4.56E-05
2.59598,5.86E-05
2.582151,6.70E-05
2.574742,7.17E-05
2.570302,7.18E-05
2.574589,7.16E-05
2.57834,7.16E-05
2.572997,7.21E-05
2.57092,7.32E-05
2.570463,7.59E-05
2.571074,7.61E-05
2.571439,7.83E-05
2.573089,7.83E-05
2.572976,7.94E-05
2.571551,8.26E-05
2.568396,8.36E-05
2.564028,8.33E-05
2.544231,8.06E-05
2.528301,8.11E-05
2.487815,8.00E-05
2.445643,8.16E-05
2.159111,0.000102469
1.687554,0.000158992
0.8730883,0.000539794
0.5471584,0.001271672
0.4523068,0.001822798
0.4291799,0.002021434
0.4290222,0.001957938
0.4265574,0.0014876
0.4272584,0.000470335
0.4291759,0.000104931
0.4357661,0.000103771
0.4823824,8.30E-05
0.5080916,7.58E-05
0.4958816,6.40E-05
0.3449325,3.71E-05
0.154367,8.51E-06
0.3532131,1.01E-05
0.9316802,7.38E-05
1.010314,0.000155555
1.150878,0.000204819
1.391307,0.000137296
1.372585,0.000154791
1.354538,9.31E-05
1.211371,4.06E-05
1.152769,1.58E-05
1.383652,8.69E-06
1.486414,7.24E-06
1.716596,5.46E-06
1.8625,4.73E-06
2.078965,3.95E-06
2.186083,3.64E-06
1.7743,5.57E-06
1.921806,4.83E-06
1.795582,5.59E-06
1.847708,5.98E-06
1.466863,3.31E-05
1.149891,9.07E-05
1.011061,0.000114713
0.7401466,0.000198121
0.5376891,0.000302549
0.5056075,0.000275998
0.3202795,0.000140508
0.7890816,0.000115316
0.9422625,0.000410486
1.132402,0.000523823
1.307197,0.000445629
1.329346,0.000416253
0.9740427,0.000766271
0.9833579,0.000775689
0.7178044,0.00173517
0.5788237,0.002833134
0.496921,0.003143547
0.4602279,0.003191022
0.4663133,0.002384948
0.4673935,0.00217477
0.4783115,0.001602495
0.4829073,0.001673883
0.4676597,0.001924395
0.4593849,0.001674656
0.4481219,0.001766326
0.4302177,0.001938061
0.4256915,0.001834142
0.4240924,0.001765727
0.4219112,0.00181562
0.4232395,0.001771259
0.4228948,0.001716945
0.4221345,0.001690825
0.4210543,0.001652518
0.4214149,0.00172173
0.4206954,0.001598716
0.4231184,0.001666143
0.4221974,0.001598027
0.4233565,0.001639305
0.4216845,0.001766429
0.4223863,0.00187698
0.4227405,0.001859836
0.4225767,0.001830633
0.4227161,0.001941189
0.4231592,0.002032584
0.4232377,0.00209516
0.4233716,0.002180269
0.4244853,0.002260745
0.426067,0.002765596
0.4286966,0.003075228
0.4333425,0.003432671
0.4443294,0.004079903
0.46139,0.005774453
0.5069814,0.004870687
0.5599728,0.004183854
0.7318752,0.002700291
0.9601365,0.001849289
1.594647,0.00066856
2.123603,0.000345611
2.263254,0.000273452
2.127453,0.000161925
2.155073,0.000142773
1.575317,0.000123259
1.725519,0.000144898
1.700034,0.000140599
1.673448,0.000132234
1.555468,0.000122294
1.739031,0.000110016
1.568694,0.000108481
1.724474,0.00013404
1.763451,0.000158537
1.957189,0.000214493
1.994419,0.000210465
2.105107,0.000214696
2.222198,0.000216113
2.304142,0.000231396
2.400784,0.000223256
2.466087,0.000220691
2.500471,0.00021744
2.544023,0.000203755
2.561061,0.000137117
2.560824,9.49E-05
2.558673,6.67E-05
2.571604,1.90E-05
2.616152,5.34E-06
3.193312,3.09E-06
62.76615,1.83E-06
94.92018,6.40E-07
83.02885,7.77E-08
42.5875,9.57E-09
24.64003,4.17E-09
27.31301,1.12E-08
37.31886,2.68E-08
52.24078,1.10E-07
74.08808,1.51E-07
95.20188,2.56E-07
99.2318,9.45E-07
99.80709,3.40E-06
99.98504,2.00E-05
99.99565,4.24E-05
99.99603,2.44E-05
99.78478,4.18E-07
99.78865,4.22E-07
99.77686,3.46E-07
99.82465,2.88E-07
99.96722,4.82E-06
98.35904,7.76E-05
95.55888,7.71E-05
91.11676,6.94E-05
81.80192,2.98E-05
62.64326,2.32E-06
51.22359,1.96E-06
31.08743,2.20E-06
22.72248,2.53E-06
35.16607,2.62E-06
56.45389,2.60E-06
9.129286,2.60E-06
3.834381,2.60E-06
3.03601,2.66E-06
1.885164,5.05E-06
0.9137238,2.01E-05
0.7773067,4.58E-05
0.5454066,6.13E-05
0.4574446,6.39E-05
0.4557312,6.54E-05
0.4591376,6.56E-05
0.4789895,6.50E-05
0.4936083,6.62E-05
0.4599261,6.92E-05
0.4410515,7.17E-05
0.4337359,7.30E-05
0.4297343,7.56E-05
0.4288735,8.07E-05
0.4284185,8.53E-05
0.4280708,0.000107044
0.4275707,9.63E-05
0.4255458,0.000100282
0.4247127,9.82E-05
0.4265455,0.000102838
0.4249183,0.000143717
0.4254054,0.000185697
0.4221794,0.000271529
0.4164955,0.000391499
0.416141,0.000498429
0.4176279,0.001230571
0.4203878,0.001465222
0.4210833,0.001701699
0.4189095,0.00189304
0.4135207,0.002219609
0.4121969,0.002360289
0.4114919,0.002381688
0.4165139,0.002508724
0.4158091,0.002457683
0.4176459,0.002552865
0.4204226,0.002571219
0.4189678,0.002938217
0.4213661,0.003180546
0.4227304,0.003562097
0.4230912,0.003646296
0.4243961,0.003949633
0.4256258,0.004378002
0.4260812,0.005801764
0.4248987,0.007771836
0.4267025,0.006513765
0.4301291,0.006824465
0.480345,0.008902174
0.6276472,0.01114364
1.213003,0.01519845
0.7932642,0.01799146
0.4351861,0.02151957
0.4328332,0.02346516
0.4302439,0.02274824
0.4293046,0.02233512
0.4314744,0.02314875
0.4352833,0.02338476
0.4401688,0.02397655
0.4436652,0.02548951
0.4482459,0.02679004
0.4546818,0.03180811
0.4772121,0.03220617
0.5230139,0.02667351
0.6706884,0.02014677
1.122371,0.009239197
0.9205124,0.01244335
0.9528586,0.009423077
0.7416863,0.009246891
0.6726971,0.003478987
0.7176128,0.002395214
0.6270447,0.002571543
0.5968983,0.002823181
0.4999286,0.003750227
0.4824268,0.00459251
0.5024272,0.008406768
0.487834,0.01420929
0.4835893,0.01897096
0.4547901,0.02144585
0.448477,0.02207012
0.4561361,0.02137616
0.4441166,0.02254959
0.4488195,0.02185588
0.4695936,0.02019478
0.5310372,0.01635459
0.7992576,0.007712706
1.428511,0.002642923
1.853944,0.00165979
1.689095,0.002067186
1.950622,0.001589267
2.317539,0.001177344
2.274177,0.001087691
1.880212,0.000955491
1.679731,0.000601071
1.505725,0.000851948
1.465953,0.001113678
1.515524,0.002712528
1.353592,0.003494512
1.046552,0.00577854
1.098883,0.005570083
1.452804,0.003329332
1.464594,0.003067866
1.291431,0.004084578
1.114451,0.005135183
0.7831776,0.01051205
0.7837217,0.01067062
0.8208665,0.009473342
0.7643468,0.01028203
0.7567079,0.00960404
1.009512,0.005561628
1.249706,0.003867958
1.994673,0.001651017
2.09166,0.001391967
2.248331,0.001132137
2.250868,0.001174597
2.331034,0.001050251
2.353072,0.001066529
2.396186,0.001067008
2.446113,0.000984516
2.506477,0.000973965
2.505645,0.001017501
2.509197,0.001058987
2.536854,0.000989993
2.562741,0.000980976
2.563377,0.000983752
2.561468,0.00099149
2.553829,0.000996872
2.538124,0.00104002
2.519876,0.001065148
2.522775,0.001055221
2.511909,0.001021434
2.479421,0.001024551
2.469865,0.000941124
2.509483,0.000897794
2.536602,0.000858652
2.544415,0.000693773
2.555015,0.00046616
2.559927,7.71E-05
2.564518,1.05E-05
2.573466,3.32E-06
2.575666,2.70E-06
2.587046,2.54E-06
2.6319,2.54E-06
0,0
2.764517,2.64E-06
2.824497,2.72E-06
0,0
0,0
0,0
3.694669,4.66E-06
3.361214,5.36E-06
3.122849,1.67E-05
2.943092,2.55E-05
2.780476,3.23E-05
2.76346,4.54E-05
2.671807,6.82E-05
2.625278,4.63E-05
2.608383,4.60E-05
2.585597,5.95E-05
2.547377,5.43E-05
2.514251,1.70E-05
2.431502,8.24E-06
2.464631,4.95E-06
2.495581,3.89E-06
2.493199,3.26E-06
2.503353,3.25E-06
2.525947,3.84E-06
2.532441,3.84E-06
2.544379,6.55E-06
2.545222,2.18E-05
2.536608,0.000123247
2.503622,0.000800434
2.457825,0.001049898
2.311557,0.001165702
1.968598,0.001515097
1.985727,0.001475116
2.139301,0.001273019
2.223249,0.001171054
2.068447,0.001330974
1.816346,0.001723797
1.774981,0.001761845
1.607358,0.002097041
1.522832,0.002293857
1.449509,0.002512332
1.278376,0.003171714
0.9969329,0.005018946
1.004679,0.004962738
0.80527,0.007466153
0.7608364,0.008294261
0.7257146,0.009081539
0.7405121,0.008776883
0.8995672,0.006104889
0.6872221,0.0100259
0.6356896,0.01155975
0.5538394,0.01488626
0.5125504,0.01719264
0.5272556,0.01633908
0.5160632,0.01707767
0.4899246,0.01884286
0.4844952,0.0193011
0.4767709,0.02004411
0.467069,0.02108925
0.4623899,0.02145532
0.4611202,0.02187591
0.4576455,0.02198922
0.4585483,0.02189136
0.4578613,0.02195538
0.4581889,0.02233163
0.4591551,0.02238795
0.4666046,0.02195549
0.4840569,0.02101999
0.5078842,0.02011
0.5367208,0.01911475
0.5635644,0.0182352
0.5718555,0.0173894
0.4359852,0.02400768
0.9930528,0.02407321
1.705121,0.000494034
0.1512892,1.31E-06
0.6378382,1.10E-06
7.370293,1.10E-06
7.023116,1.09E-06
7.876761,1.09E-06
8.780681,1.09E-06
12.69262,1.09E-06
22.21511,1.09E-06
26.00518,1.09E-06
28.54734,1.09E-06
31.37025,1.10E-06
34.18626,1.10E-06
36.72753,1.11E-06
39.56322,1.11E-06
38.07874,1.15E-06
0.1836897,3.62E-06
3.507613,0.000467026
4.418139,0.000709078
4.304393,5.85E-05
4.085155,4.47E-06
3.800615,2.63E-06
3.444313,2.79E-06
2.853437,3.19E-06
2.382109,3.70E-06
2.022957,6.35E-06
1.156428,1.64E-05
0.8104575,2.36E-05
0.7312463,3.32E-05
0.5734413,5.05E-05
0.4936343,5.41E-05
0.4569733,6.04E-05
0.4334814,7.62E-05
0.4211135,0.00012337
0.3968078,0.001425577
0.3647796,0.008621513
0.2974419,0.005912798
0.2757391,0.005708538
0.8890243,0.005840044
59.87836,0.04647754
83.23335,6.093468
69.08794,17.58483
3.744035,12.00825
0.06008284,29.86732
0.1311311,6.636589
0.1898155,0.4821419
0.244948,0.1892184
0.236208,0.1587805
0.1495892,0.1352954
0.2233852,0.1168592
0.2935608,0.08481191
0.3520863,0.04913189
0.3766229,0.0100346
0.3977624,0.002438363
0.4091671,0.000520547
0.5044338,0.000400495
0.5790145,0.000271797
0.6393359,0.000258861
0.8085178,0.000170311
1.125611,0.000107887
1.552052,9.35E-05
1.829222,0.000309698
1.537871,0.000489853
1.063056,0.000626021
0.8659695,0.00126653
0.6221195,0.002242771
0.4953739,0.01079462
0.2961456,0.09054254
0.2366996,0.1153839
0.1765921,0.08632191
0.1141991,0.01874423
0.1099434,0.01831309
0.06344486,0.02980713
0.05831776,0.02164813
0.08716268,0.04233703
0.115316,0.02899183
0.1830836,0.01450729
0.2213955,0.01354719
0.2191457,0.01421503
0.3189481,0.02240668
0.3645081,0.0703846
0.3773565,0.0972328
0.3735319,0.08185547
0.3845973,0.03017955
0.3824735,0.01090427
0.3825389,0.008391102
0.3830285,0.006207559
0.3725073,0.00207814
0.3910733,0.00155476
0.3852878,0.001117672
0.3674694,0.000659285
0.3889395,0.000557461
0.3996412,0.00056396
0.4193945,0.000552641
0.4499381,0.000560806
0.4840016,0.000549012
0.4816936,0.000955632
0.4521436,0.008214234
0.4258433,0.01411659
0.423557,0.01355124
0.4288072,0.01140474
0.4271648,0.01418156
0.4267698,0.01031339
0.4308119,0.007362847
0.4403494,0.003994703
0.4474134,0.003852034
0.4515592,0.003633529
0.4492683,0.004349144
0.4483306,0.005592982
0.4483846,0.006551591
0.4561026,0.008691248
0.4457795,0.01197045
0.4461826,0.02695295
0.4517268,0.03440777
0.4975976,0.01362619
0.8721875,0.005316074
2.015015,0.00131605
84.96313,0.000716596
99.38175,0.000694246
99.12985,0.000473507
50.82714,3.89E-06
23.60117,1.09E-06
23.57375,1.06E-06
23.97974,1.06E-06
24.82327,1.05E-06
26.57762,1.06E-06
29.84692,1.07E-06
34.53822,1.06E-06
42.47034,1.06E-06
54.88609,1.06E-06
66.12102,1.06E-06
72.46559,1.07E-06
80.12441,1.07E-06
81.62604,1.07E-06
82.25268,1.07E-06
82.65701,1.08E-06
84.547,1.08E-06
85.8553,1.08E-06
87.16264,1.07E-06
88.28952,1.08E-06
88.62292,1.08E-06
89.2513,1.08E-06
90.28448,1.08E-06
91.09551,1.08E-06
92.57536,1.08E-06
93.61755,1.08E-06
83.8557,1.06E-06
0.276802,1.11E-06
2.38572,8.06E-05
9.055517,0.00061986
6.690677,0.000657126
4.615047,0.000646946
3.206962,0.000266156
2.995892,0.000237085
2.807297,5.38E-05
2.433907,7.90E-05
1.758515,0.00017991
0.7629174,0.001227568
0.4415531,0.004292788
0.4002217,0.009589599
0.3879767,0.03334669
0.3911731,0.08259364
0.3849916,0.1387981
0.3749369,0.1413547
0.3696711,0.1384634
0.3705469,0.1559123
0.3868263,0.1552418
0.3952549,0.158764
0.4016828,0.1691892
0.4040414,0.1749361
0.4058619,0.1641295
0.4024031,0.1678472
0.4064199,0.1782508
0.4103079,0.1848498
0.4012385,0.1926585
0.4079608,0.1955044
0.4054523,0.18606
0.4086942,0.1812908
0.4051243,0.1878036
0.4033583,0.2006612
0.397427,0.2122906
0.4079213,0.2265171
0.4108382,0.2318168
0.4083351,0.2328518
0.4057944,0.239925
0.3960035,0.2426443
0.4046551,0.2430401
0.4045596,0.243855
0.4091496,0.2451488
0.409723,0.2415798
0.4110849,0.2370782
0.4124061,0.2350586
0.4115302,0.2260122
0.4107181,0.2278093
0.4161035,0.2272015
0.4115069,0.225132
0.4102648,0.2281586
0.4085023,0.2227487
0.4160926,0.2174896
0.4220838,0.1773132
0.4350771,0.1037125
1.638573,0.05669295
90.57346,0.01921731
99.01394,0.003274689
36.94584,2.72E-06
23.40421,1.16E-06
24.64097,1.09E-06
25.41746,1.09E-06
28.57706,1.09E-06
37.03814,1.09E-06
51.43155,1.08E-06
76.3616,1.08E-06
90.68446,1.08E-06
97.42725,1.08E-06
99.26903,1.09E-06
99.40348,1.09E-06
83.43456,1.27E-06
43.32209,2.42E-05
91.69566,0.000614539
89.91827,0.000752063
82.95073,0.000518358
77.76717,0.000123712
69.41731,8.30E-05
60.40682,1.01E-05
50.44404,3.15E-06
42.53093,2.78E-06
28.09584,2.78E-06
16.05985,2.84E-06
11.93834,2.91E-06
10.35285,2.76E-06
5.149393,2.74E-06
3.915508,2.70E-06
3.579626,2.63E-06
3.328597,3.66E-06
3.37989,8.98E-06
2.926383,5.26E-05
2.8588,0.000161153
2.69181,0.000445716
2.460157,0.000650961
1.740519,0.000546758
0.740667,0.000234091
0.03193147,9.55E-06
0.2018825,6.26E-05
1.688107,0.000561537
2.327133,0.000785154
2.478092,0.000838004
2.532773,0.00085815
2.555675,0.000863236
2.565537,0.000859522
2.571743,0.000858439
2.570435,0.000859445
2.563299,0.000859267
2.553501,0.000849596
2.548354,0.000829118
2.54841,0.000807054
2.541277,0.000828336
2.520576,0.000865825
2.492906,0.00088494
2.357058,0.00093814
2.203522,0.001056484
2.167138,0.001124163
1.891102,0.001436211
1.890146,0.001487908
1.606793,0.002006415
1.347637,0.002559579
0.9717544,0.004529219
0.5559207,0.0121853
0.3729942,0.01758138
0.3600536,0.02054437
0.2600044,0.01917292
0.1809128,0.01108299
0.1921448,0.007123985
0.125328,0.004800385
0.05273095,0.003202216
0.0238571,0.002515398
0.02765566,0.002146062
0.02959633,0.002027552
0.03018616,0.002006065
0.03262948,0.002127922
0.03924159,0.002828625
0.1024028,0.008750308
0.196413,0.01815406